Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group,Current State,Opportunity,Opportunity Score V3
AXISCADES.NS,1892.0999755859373,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-05-11,2211.0,2026-08-14,1416.0999755859375,,2040.8913947753904,1813.5499877929688,2417.6740063476564,7.290511370196075,18.0,8.0,10.0,0.0,18.0,44.44444444444444,2.636377246929837,2.636377246929837,8.11111111111111,11.625,6.5,4.8,37.5,62.5,87.5,0.3250328112653224,61.65,B,B,FAST,WATCH,GOOD,54.64
MANAPPURAM.NS,334.0,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-27,369.8999938964844,2026-09-18,310.0,,357.0813952026367,339.9499969482422,385.4739923095703,6.463903052002603,8.0,4.0,2.0,2.0,6.0,66.66666666666666,4.182554566912211,4.182554566912211,23.375,11.0,11.5,10.5,0.0,50.0,100.0,0.178932815696779,65.7,A,B,MEDIUM,WATCH,GOOD,53.94
PTCIL.NS,21810.0,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-09-04,24125.0,2026-09-25,21515.0,,23566.46,22820.0,24803.6,7.453219533184022,11.0,4.0,5.0,2.0,9.0,44.44444444444444,2.8759263981373056,2.8759263981373056,14.636363636363637,8.25,4.5,1.2,75.0,75.0,75.0,0.1964918657112444,65.27,A,A,FAST,WATCH,GOOD,53.27
KALYANKJIL.NS,573.0,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-27,635.9500122070312,2026-09-25,566.4000244140625,,621.066314819336,601.1750183105469,654.0330090332031,7.739320853895952,16.0,7.0,9.0,0.0,16.0,43.75,2.5211141008165963,2.5211141008165963,5.8125,10.857142857142858,9.0,1.2222222222222223,14.285714285714285,57.14285714285714,100.0,0.4337400603555434,60.65,B,B,MEDIUM,WATCH,GOOD,51.95
HNDFDS.NS,612.3499755859375,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-19,677.75,2026-09-16,593.5,,659.7205,635.625,699.655,7.180392971578496,6.0,3.0,3.0,0.0,6.0,50.0,1.33851870941839,1.33851870941839,5.166666666666667,6.0,3.0,3.6666666666666665,66.66666666666666,66.66666666666666,100.0,0.2590681373067852,63.26,B,B,FAST,WATCH,GOOD,50.65
ADANIENT.NS,2916.5,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-07-06,3245.0,2026-09-02,2830.5,,3156.297,3037.75,3352.77,7.597415579078902,8.0,4.0,2.0,2.0,6.0,66.66666666666666,2.926999180909689,2.926999180909689,24.125,12.25,13.0,11.0,0.0,25.0,100.0,0.1213263909185363,61.24,B,B,MEDIUM,WATCH,GOOD,50.49
JAGRAN.NS,62.650001525878906,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-06-05,68.33000183105469,2026-09-02,60.79999923706055,,66.71858127593994,64.56500053405762,70.28780250549316,6.0981209016329085,7.0,3.0,3.0,1.0,6.0,50.0,2.638433006347612,2.638433006347612,13.142857142857142,9.666666666666666,7.0,0.0,33.33333333333333,66.66666666666666,100.0,0.2007503374394922,62.29,B,B,FAST,WATCH,GOOD,50.26
GLAXO.NS,2815.699951171875,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-28,3120.699951171875,2026-09-16,2755.89990234375,,3042.6327407226563,2938.2999267578125,3215.547963867188,7.458435141169303,7.0,4.0,3.0,0.0,7.0,57.14285714285714,3.761290012574857,3.761290012574857,9.714285714285714,11.75,11.0,6.333333333333333,50.0,50.0,75.0,0.3871916189415293,61.23,B,B,MEDIUM,WATCH,GOOD,49.36
RAIN.NS,219.3500061035156,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-07,252.0,2026-09-16,191.0399932861328,,238.9545585632324,221.5199966430664,267.84960174560547,8.20430151138088,6.0,3.0,3.0,0.0,6.0,50.0,1.358268000039412,1.358268000039412,18.33333333333333,21.33333333333333,6.0,15.333333333333334,33.33333333333333,66.66666666666666,66.66666666666666,0.0740873454566952,60.29,B,B,FAST,WATCH,GOOD,47.64
MANINFRA.NS,129.9499969482422,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-09-22,159.5,2026-03-30,77.12000274658203,,141.87068058776856,118.31000137329102,180.91879928588867,8.402499790752481,7.0,3.0,4.0,0.0,7.0,42.85714285714285,2.212471679408682,2.212471679408682,17.857142857142858,20.0,9.0,15.75,33.33333333333333,66.66666666666666,66.66666666666666,0.1238984140468861,58.77,B,B,MEDIUM,WATCH,GOOD,44.6
