Symbol,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade
NRBBEARING.NS,14,6,8,0,14,42.857142857142854,1.6090667717730527,1.6090667717730527,6.142857142857143,8.833333333333334,4.0,3.5,50.0,66.66666666666666,83.33333333333334,0.26194110238165974,61.82,B
HINDPETRO.NS,11,5,5,1,10,50.0,2.100950859753562,2.100950859753562,14.0,13.6,9.0,4.4,40.0,60.0,60.0,0.15006791855382587,61.78,B
KFINTECH.NS,8,4,4,0,8,50.0,3.374085653635376,3.374085653635376,10.75,17.5,9.5,3.25,0.0,50.0,75.0,0.31386843289631405,61.77,B
SHAKTIPUMP.NS,8,3,4,1,7,42.857142857142854,2.2165850508270166,2.2165850508270166,12.0,7.666666666666667,2.0,3.0,66.66666666666666,66.66666666666666,100.0,0.18471542090225138,61.77,B
MAHSCOOTER.NS,9,3,5,1,8,37.5,1.4402787058567508,1.4402787058567508,11.222222222222221,3.6666666666666665,4.0,4.8,66.66666666666666,100.0,100.0,0.12834166685852236,61.75,B
ETHOSLTD.NS,13,6,7,0,13,46.15384615384615,0.7073150093446128,0.7073150093446128,7.769230769230769,12.666666666666666,2.5,2.5714285714285716,66.66666666666666,66.66666666666666,66.66666666666666,0.09104054575722739,61.73,B
AXISCADES.NS,18,8,10,0,18,44.44444444444444,2.6363772469298374,2.6363772469298374,8.11111111111111,11.625,6.5,4.8,37.5,62.5,87.5,0.32503281126532246,61.65,B
ANANDRATHI.NS,16,7,8,1,15,46.666666666666664,1.4942806282567875,1.4942806282567875,10.0625,7.714285714285714,7.0,5.125,42.857142857142854,71.42857142857143,100.0,0.14849993821185467,61.64,B
SHARDAMOTR.NS,11,5,5,1,10,50.0,1.9055067973408577,1.9055067973408577,18.818181818181817,17.4,7.0,11.4,40.0,60.0,80.0,0.10125881531763013,61.48,B
BALMLAWRIE.NS,10,5,5,0,10,50.0,1.8887036568431796,1.8887036568431796,7.5,11.4,7.0,3.0,40.0,60.0,60.0,0.2518271542457573,61.45,B
