SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
BAJAJ-AUTO,YES,YES,NO,NO
BAJAJCON,NO,NO,NO,NO
BAJAJELEC,NO,NO,NO,YES
BAJAJFINSV,YES,YES,NO,NO
BAJAJHCARE,NO,NO,NO,NO
BAJAJHFL,NO,NO,NO,NO
BAJAJHIND,NO,NO,NO,NO
BAJAJHLDNG,NO,YES,NO,NO
BAJAJINDEF,NO,NO,NO,NO
BAJAJST,NO,NO,NO,NO
BAJEL,NO,NO,NO,NO
BAJFINANCE,YES,YES,NO,NO
BALAJEE,NO,NO,NO,NO
BALAJITELE,NO,NO,NO,NO
BALAMINES,NO,NO,NO,YES
BALAXI,NO,NO,NO,NO
BALKRISHNA,NO,NO,NO,NO
BALKRISIND,NO,NO,NO,NO
BALMLAWRIE,NO,NO,NO,NO
BALPHARMA,NO,NO,NO,NO
BALRAMCHIN,NO,NO,YES,NO
BALUFORGE,NO,NO,NO,YES
BANARBEADS,NO,NO,NO,NO
BANARISUG,NO,NO,NO,NO
BANCOINDIA,NO,NO,NO,YES
BANDHANBNK,NO,YES,YES,NO
BANG,NO,NO,NO,NO
BANKA,NO,NO,NO,NO
BANKBARODA,NO,YES,NO,NO
BANKINDIA,NO,YES,NO,NO
BANSALWIRE,NO,NO,NO,NO
BANSWRAS,NO,NO,NO,NO
BASF,NO,NO,NO,NO
BATAINDIA,NO,NO,YES,NO
BATLIBOI,NO,NO,NO,NO
BAYERCROP,NO,NO,YES,NO
BBL,NO,NO,NO,NO
BBOX,NO,NO,NO,YES
BBTC,NO,NO,YES,NO
BBTCL,NO,NO,NO,NO
BCG,NO,NO,NO,NO
BCLIND,NO,NO,NO,NO
BCONCEPTS,NO,NO,NO,NO
BCPL,NO,NO,NO,NO
BDL,NO,YES,NO,NO
BEARDSELL,NO,NO,NO,NO
BECTORFOOD,NO,NO,NO,YES
BEDMUTHA,NO,NO,NO,NO
BEEKAY,NO,NO,NO,NO
BEL,YES,YES,NO,NO
BELLACASA,NO,NO,NO,NO
BELRISE,NO,NO,YES,NO
BEML,NO,NO,YES,NO
BENARAS,NO,NO,NO,NO
BENGALASM,NO,NO,NO,NO
BEPL,NO,NO,NO,NO
BERGEPAINT,NO,NO,NO,NO
BESTAGRO,NO,NO,NO,NO
BETA,NO,NO,NO,NO
BFINVEST,NO,NO,NO,NO
BFUTILITIE,NO,NO,NO,NO
BHAGCHEM,NO,NO,NO,NO
BHAGYANGR,NO,NO,NO,NO
BHANDARI,NO,NO,NO,NO
BHARATCOAL,NO,NO,NO,NO
BHARATFORG,NO,YES,NO,NO
BHARATRAS,NO,NO,NO,NO
BHARATSE,NO,NO,NO,NO
BHARATWIRE,NO,NO,NO,NO
BHARTIARTL,YES,YES,NO,NO
BHARTIHEXA,NO,NO,NO,NO
BHEL,NO,YES,NO,NO
BI,NO,NO,NO,NO
BIGBLOC,NO,NO,NO,NO
BIKAJI,NO,NO,YES,NO
BIL,NO,NO,NO,NO
BIMETAL,NO,NO,NO,NO
BIOCON,NO,YES,NO,NO
BIOFILCHEM,NO,NO,NO,NO
BIRLACORPN,NO,NO,NO,YES
BIRLAMONEY,NO,NO,NO,NO
BIRLANU,NO,NO,NO,NO
BIRLAPREC,NO,NO,NO,NO
BLACKBUCK,NO,NO,NO,YES
BLAL,NO,NO,NO,NO
BLBLIMITED,NO,NO,NO,NO
BLIL,NO,NO,NO,NO
BLKASHYAP,NO,NO,NO,NO
BLS,NO,NO,YES,NO
BLSE,NO,NO,NO,NO
BLUECHIP,NO,NO,NO,NO
BLUECLOUDS,NO,NO,NO,NO
BLUEDART,NO,NO,YES,NO
BLUEJET,NO,NO,YES,NO
BLUESTARCO,NO,YES,NO,NO
BLUESTONE,NO,NO,NO,YES
BLUSPRING,NO,NO,NO,NO
BMWVENTLTD,NO,NO,NO,NO
BNAGROCHEM,NO,NO,NO,NO
BOHRAIND,NO,NO,NO,NO
BOMDYEING,NO,NO,NO,NO
BONLON,NO,NO,NO,NO
BORANA,NO,NO,NO,NO
BOROLTD,NO,NO,NO,NO
BORORENEW,NO,NO,NO,YES
BOROSCI,NO,NO,NO,NO
BOSCH-HCIL,NO,NO,NO,NO
BOSCHLTD,NO,YES,NO,NO
BPCL,NO,YES,NO,NO
BPL,NO,NO,NO,NO
BPLPHARMA,NO,NO,NO,NO
BRAHMINFRA,NO,NO,NO,NO
BRIGADE,NO,NO,YES,NO
BRIGHOTEL,NO,NO,NO,NO
BRIGHTBR,NO,NO,NO,NO
BRITANNIA,NO,YES,NO,NO
BRNL,NO,NO,NO,NO
BSE,NO,YES,NO,NO
BSHSL,NO,NO,NO,NO
BSL,NO,NO,NO,NO
BSOFT,NO,NO,YES,NO
BTML,NO,NO,NO,NO
BUILDPRO,NO,NO,NO,NO
BUTTERFLY,NO,NO,NO,NO
BVCL,NO,NO,NO,NO
CALSOFT,NO,NO,NO,NO
CAMLINFINE,NO,NO,NO,NO
CAMPUS,NO,NO,NO,YES
CAMS,NO,YES,YES,NO
CANBK,NO,YES,NO,NO
CANFINHOME,NO,NO,YES,NO
CANHLIFE,NO,NO,YES,NO
CANTABIL,NO,NO,NO,NO
CAPACITE,NO,NO,NO,NO
CAPILLARY,NO,NO,NO,YES
CAPITALSFB,NO,NO,NO,NO
CAPLIPOINT,NO,NO,YES,NO
CARBORUNIV,NO,NO,YES,NO
CARERATING,NO,NO,NO,NO
CARRARO,NO,NO,NO,NO
CARTRADE,NO,NO,YES,NO
CARYSIL,NO,NO,NO,NO
CASTROLIND,NO,NO,YES,NO
CCAVENUE,NO,NO,NO,YES
CCCL,NO,NO,NO,NO
CCHHL,NO,NO,NO,NO
CCL,NO,NO,YES,NO
CDSL,NO,YES,YES,NO
CEATLTD,NO,NO,YES,NO
CEIGALL,NO,NO,NO,NO
CEINSYS,NO,NO,NO,NO
CELEBRITY,NO,NO,NO,NO
CELLO,NO,NO,NO,YES
CEMPRO,NO,NO,YES,NO
CENTENKA,NO,NO,NO,NO
CENTEXT,NO,NO,NO,NO
CENTRALBK,NO,NO,YES,NO
CENTRUM,NO,NO,NO,NO
CENTUM,NO,NO,NO,NO
CENTURYPLY,NO,NO,NO,YES
CERA,NO,NO,NO,YES
CESC,NO,NO,YES,NO
CEWATER,NO,NO,NO,NO
CFEL,NO,NO,NO,NO
CGCL,NO,NO,YES,NO
CGPOWER,NO,YES,NO,NO
CGVAK,NO,NO,NO,NO
CHALET,NO,NO,YES,NO
CHAMBLFERT,NO,NO,YES,NO
CHEMBOND,NO,NO,NO,NO
CHEMCRUX,NO,NO,NO,NO
CHEMFAB,NO,NO,NO,NO
